customer_id,name,email,age,location,join_date,last_purchase_date,order_total,items_purchased,preferred_category
CUST0001,John Smith,john.smith@gmail.com,32,New York,2023-06-15,06/20/2024,85.99,3,Electronics
CUST0002,Mary Johnson,mary.johnson@yahoo.com,,Los Angeles,2023-08-22,09/15/2024,64.50,2,Clothing
CUST0003,Robert Williams,r.williams@hotmail.com,45,Chicago,2022-11-30,01/22/2025,125.75,5,Books
CUST0004,jennifer Brown,jennifer.brown@outlook.com,29,NYC,2024-01-18,,,,Beauty
CUST0005,MICHAEL Garcia,michael.garcia@gmail.com,68,Houston,2023-04-07,05/30/2024,42.99,2,home & kitchen
CUST0006,Linda  Miller,linda.miller@yahoo.com,41,Phoenix,2023-09-12,10/05/2024,199.99,8,ELECTRONICS
CUST0007,William Davis,williamdavis@gmail.com,37,San Diego,2022-07-29,08/15/2024,78.25,3,
CUST0008,Elizabeth Rodriguez,e.rodriguez@outlook.com,,LA,2023-10-05,11/20/2024,56.75,2,Books
CUST0009,David Martinez,dmartinez@yahoo.com,28,Dallas,2023-03-18,02/10/2025,92.50,4,Clothing
CUST0010,Susan Thompson,susan.thompson@gmail.com,39,Chicago,2022-12-05,12/26/2024,67.99,3,Home & Kitchen
CUST0001,John Smith,john.smith@gmail.com,32,New York,2023-06-15,09/05/2024,110.25,4,Electronics
CUST0011,Richard Anderson,richard.anderson@hotmail.com,52,Philadelphia,2023-01-30,05/15/2024,45.75,2,Books
CUST0012,JESSICA Thomas,jthomas@gmail.com,31,San Antonio,2022-09-08,11/05/2024,89.99,4,Beauty
CUST0013,Joseph Jackson,joe.jackson@outlook.com,47,San Jose,2023-07-14,08/25/2024,62.50,3,Sports & Outdoors
CUST0014,sarah White,sarah.white@yahoo.com,,Houston,2024-02-20,03/15/2025,134.99,5,Electronics
CUST0015,Thomas Harris,t.harris@gmail.com,61,Phoenix,2022-06-25,,,,
CUST0016,Karen Martin,kmartin@outlook.com,33,NYC,2023-05-09,07/12/2024,74.50,3,Clothing
CUST0017,Charles Thompson,charles.thompson@gmail.com,49,LA,2022-10-18,12/05/2024,95.25,4,grocery
